event,date,player,elo,color,opponent,result,avg_cp_loss,std_cp_loss
Linares16th,1999.03.01,"Anand, Viswanathan",2781.0,black,"Adams, Michael",draw,15.944444444444445,14.241848437389729
Linares16th,1999.03.02,"Anand, Viswanathan",2780.0,white,"Ivanchuk, Vassily",draw,22.62857142857143,18.409757838534144
Linares16th,1999.03.02,"Ivanchuk, Vassily",2710.0,black,"Anand, Viswanathan",draw,23.428571428571427,24.88864998265642
Linares16th,1999.03.03,"Leko, Peter",2694.0,white,"Anand, Viswanathan",draw,14.235294117647058,16.7333039238404
Linares16th,1999.03.03,"Anand, Viswanathan",2781.0,black,"Leko, Peter",draw,10.735294117647058,12.29851455288859
Linares16th,1999.03.05,"Anand, Viswanathan",2781.0,white,"Kasparov, Gary",lost,27.0,55.758407437802596
Linares16th,1999.03.05,"Kasparov, Gary",2812.0,black,"Anand, Viswanathan",won,17.5,49.347745642531635
Linares16th,1999.03.06,"Topalov, Veselin",2700.0,white,"Anand, Viswanathan",lost,49.03030303030303,65.41915429285999
Linares16th,1999.03.06,"Anand, Viswanathan",2781.0,black,"Topalov, Veselin",won,34.303030303030305,52.6420069897432
Linares16th,1999.03.07,"Anand, Viswanathan",2781.0,white,"Kramnik, Vladimir",draw,17.09090909090909,15.773709689079862
Linares16th,1999.03.07,"Kramnik, Vladimir",2751.0,black,"Anand, Viswanathan",draw,14.272727272727273,24.476671301803453
Linares16th,1999.03.09,"Svidler, Peter",2713.0,white,"Anand, Viswanathan",draw,20.916666666666668,30.532655560163047
Linares16th,1999.03.09,"Anand, Viswanathan",2781.0,black,"Svidler, Peter",draw,14.272727272727273,15.586071340614053
Linares16th,1999.03.10,"Anand, Viswanathan",2781.0,white,"Adams, Michael",won,31.2,44.69822623518107
Linares16th,1999.03.10,"Adams, Michael",2716.0,black,"Anand, Viswanathan",lost,54.6764705882353,71.96638128044286
Amber Blindfold,1999.03.16,"Ljubojevic, Ljubomir",2571.0,white,"Anand, Viswanathan",draw,13.0,18.875754757017237
Amber Blindfold,1999.03.16,"Anand, Viswanathan",2781.0,black,"Ljubojevic, Ljubomir",draw,13.242424242424242,23.855664854247937
Amber Blindfold,1999.03.17,"Anand, Viswanathan",2781.0,white,"Shirov, Alexei",draw,21.865384615384617,30.936056164383935
